taxid,Type,Type_PS,Species,Habitat,Database,SResolution,TResolution
1000317006,Actinomyces phage,Actinomyces phage,Actinomyces phage 3,Host-associated(human),IMGVR,Defined,Defined
1000318327,Actinomyces phage,Actinomyces phage,Actinomyces phage 4,Host-associated(human),IMGVR,Defined,Defined
1000349923,Actinomyces phage,Actinomyces phage,Actinomyces phage 5,Host-associated(human),IMGVR,Defined,Defined
1000366677,Actinomyces phage,Actinomyces phage,Actinomyces phage 6,Host-associated(human),IMGVR,Defined,Defined
1000368270,Actinomyces phage,Actinomyces phage,Actinomyces phage 7,Host-associated(human),IMGVR,Defined,Defined
1000378670,Actinomyces phage,Actinomyces phage,Actinomyces phage 8,Host-associated(human),IMGVR,Defined,Defined
1000378677,Actinomyces phage,Actinomyces phage,Actinomyces phage 9,Host-associated(human),IMGVR,Defined,Defined
1000735365,Adenovirus,Adenovirus,Adeno-associated dependoparvovirus A,Reference genome,IMGVR,Defined,Defined
1000735636,Adenovirus,Adenovirus,Bovine atadenovirus D,Reference genome,IMGVR,Defined,Defined
298331,Adenovirus,Adenovirus,Frog siadenovirus A,Reference genome,NCBI,Defined,Defined
129951,Adenovirus,Adenovirus,Human mastadenovirus C,Reference genome,NCBI,Defined,Defined
1000637864,Aeribacillus phage,Aeribacillus phage,Aeribacillus phage 1,Non-marine_Saline_and_Alkaline,IMGVR,Defined,Defined
1000748415,Aerococcus phage,Aerococcus phage,Aerococcus phage 1,Curated prophage,IMGVR,Defined,Defined
1000759967,Aeromonas Inovirus,Aeromonas Inovirus,Aeromonas Inovirus 1,Curated prophage,IMGVR,Defined,Defined
1000751613,Aeromonas phage,Aeromonas phage,Aeromonas Hp1likevirus,Curated prophage,IMGVR,Defined,Defined
1000759968,Aeromonas phage,Aeromonas phage,Aeromonas Hp1likevirus,Curated prophage,IMGVR,Defined,Defined
1000207178,Aeromonas phage,Aeromonas phage,Aeromonas phage 1,Freshwater,IMGVR,Defined,Defined
1000738720,Aeromonas phage,Aeromonas phage,Aeromonas phage phiAS5,Reference genome,IMGVR,Defined,Defined
260149,Aeromonas phage,Aeromonas phage,Aeromonas virus 65,Reference genome,NCBI,Defined,Defined
1000738842,Aeromonas phage,Aeromonas phage,Aeromonas virus 65,Reference genome,IMGVR,Defined,Defined
227470,Aeromonas phage,Aeromonas phage,Aeromonas virus Aeh1,Reference genome,NCBI,Defined,Defined
1000736581,Aeromonas phage,Aeromonas phage,Aeromonas virus Aeh1,Reference genome,IMGVR,Defined,Defined
1000737516,Aeromonas phage,Aeromonas phage,Aeromonas virus phiO18P,Reference genome,IMGVR,Defined,Defined
1000212243,Aggregatibacter phage,Aggregatibacter phage,Aggregatibacter phage 1,Host-associated(human),IMGVR,Defined,Defined
1000230043,Aggregatibacter phage,Aggregatibacter phage,Aggregatibacter phage 2,Host-associated(human),IMGVR,Defined,Defined
1000297014,Aggregatibacter phage,Aggregatibacter phage,Aggregatibacter phage 3,Host-associated(human),IMGVR,Defined,Defined
1000318309,Aggregatibacter phage,Aggregatibacter phage,Aggregatibacter phage 4,Host-associated(human),IMGVR,Defined,Defined
1000378135,Aggregatibacter phage,Aggregatibacter phage,Aggregatibacter phage 5,Host-associated(human),IMGVR,Defined,Defined
1000670012,Aggregatibacter phage,Aggregatibacter phage,Aggregatibacter phage 6,Host-associated(human),IMGVR,Defined,Defined
1000675539,Aggregatibacter phage,Aggregatibacter phage,Aggregatibacter phage 7,Host-associated(human),IMGVR,Defined,Defined
1000694404,Aggregatibacter phage,Aggregatibacter phage,Aggregatibacter phage 8,Host-associated(human),IMGVR,Defined,Defined
1000748063,Agrobacterium phage,Agrobacterium phage,Agrobacterium phage 1,Curated prophage,IMGVR,Defined,Defined
1000752142,Agrobacterium phage,Agrobacterium phage,Agrobacterium phage 2,Curated prophage,IMGVR,Defined,Defined
1000752253,Agrobacterium phage,Agrobacterium phage,Agrobacterium phage 3,Curated prophage,IMGVR,Defined,Defined
2560286,Agrobacterium phage,Agrobacterium phage,Agrobacterium virus Atuph07,Reference genome,NCBI,Defined,Defined
1000598785,Akkermansia phage,Akkermansia phage,Akkermansia phage 1,Host-associated(human),IMGVR,Defined,Defined
1000753559,Alcaligenes phage,Alcaligenes phage,Alcaligenes phage 1,Curated prophage,IMGVR,Defined,Defined
1000753560,Alcaligenes phage,Alcaligenes phage,Alcaligenes phage 2,Curated prophage,IMGVR,Defined,Defined
1000402815,Alcanicorax phage,Alcanicorax phage,Alcanicorax phage 1,Host-associated(plants),IMGVR,Defined,Defined
1000759268,Aliivibrio phage,Aliivibrio phage,Aliivibrio Mulikevirus,Curated prophage,IMGVR,Defined,Defined
1000366236,Alistipes phage,Alistipes phage,Alistipes phage 1,Host-associated(human),IMGVR,Defined,Defined
1921009,Allexivirus,Allexivirus,Arachis pintoi virus,Reference genome,NCBI,Defined,Defined
1000688114,Alloprevotella phage,Alloprevotella phage,Alloprevotella phage 1,Host-associated(human),IMGVR,Defined,Defined
1000693904,Alloprevotella phage,Alloprevotella phage,Alloprevotella phage 2,Host-associated(human),IMGVR,Defined,Defined
1000737160,Alphaendornavirus,Alphaendornavirus,Oryza sativa alphaendornavirus,Reference genome,IMGVR,Defined,Defined
1000735414,Alphaherpesvirus,Alphaherpesvirus,Bovine alphaherpesvirus 1,Reference genome,IMGVR,Defined,Defined
1000735637,Alphaherpesvirus,Alphaherpesvirus,Cercopithecine alphaherpesvirus 9,Reference genome,IMGVR,Defined,Defined
93386,Alphaherpesvirus,Alphaherpesvirus,Columbid alphaherpesvirus 1,Reference genome,NCBI,Defined,Defined
1000738325,Alphaherpesvirus,Alphaherpesvirus,Felid alphaherpesvirus 1,Reference genome,IMGVR,Defined,Defined
1000736871,Alphaherpesvirus,Alphaherpesvirus,Gallid alphaherpesvirus 1,Reference genome,IMGVR,Defined,Defined
1000735547,Alphaherpesvirus,Alphaherpesvirus,Gallid alphaherpesvirus 2,Reference genome,IMGVR,Defined,Defined
1000735607,Alphaherpesvirus,Alphaherpesvirus,Gallid alphaherpesvirus 3,Reference genome,IMGVR,Defined,Defined
1000735391,Alphaherpesvirus,Alphaherpesvirus,Human alphaherpesvirus 1,Reference genome,IMGVR,Defined,Defined
1000735169,Alphaherpesvirus,Alphaherpesvirus,Human alphaherpesvirus 3,Reference genome,IMGVR,Defined,Defined
